N,F,P,Sample,n,f,p,SE,Z,LB,UB,Accept/Reject
512,101,0.197265625,3,18,4,0.2222222222222222,0.09379407058769149,1.96,0.03838584387034691,0.4060586005740975,Accept
512,101,0.197265625,6,18,0,0.0,0.09379407058769149,1.96,-0.1838363783518753,0.1838363783518753,Reject
512,101,0.197265625,24,24,6,0.25,0.08122804785329167,1.96,0.09079302620754834,0.40920697379245163,Accept
512,101,0.197265625,7,23,2,0.08695652173913043,0.08297508745907842,1.96,-0.07567464968066326,0.24958769315892412,Accept
512,101,0.197265625,19,18,3,0.16666666666666666,0.09379407058769149,1.96,-0.017169711685208644,0.35050304501854196,Accept
512,101,0.197265625,1,19,8,0.42105263157894735,0.09129244454624622,1.96,0.24211944026830476,0.5999858228895899,Reject
512,101,0.197265625,8,23,4,0.17391304347826086,0.08297508745907842,1.96,0.011281872058467174,0.33654421489805453,Accept
512,101,0.197265625,18,27,5,0.18518518518518517,0.07658253794614389,1.96,0.03508341081074315,0.3352869595596272,Accept
512,101,0.197265625,17,35,5,0.14285714285714285,0.06726321393140307,1.96,0.01102124355159284,0.27469304216269286,Accept
512,101,0.197265625,2,28,7,0.25,0.07520255936786407,1.96,0.10260298363898643,0.39739701636101354,Accept
512,101,0.197265625,21,17,5,0.29411764705882354,0.09651330240327416,1.96,0.10495157434840618,0.4832837197692409,Accept
512,101,0.197265625,22,18,3,0.16666666666666666,0.09379407058769149,1.96,-0.017169711685208644,0.35050304501854196,Accept
512,101,0.197265625,4,15,2,0.13333333333333333,0.10274625644222092,1.96,-0.06804932929341967,0.33471599596008633,Accept
512,101,0.197265625,5,21,3,0.14285714285714285,0.08683643578957027,1.96,-0.027342271290414888,0.3130565570047006,Accept
512,101,0.197265625,9,21,1,0.047619047619047616,0.08683643578957027,1.96,-0.12258036652851012,0.21781846176660535,Accept
512,101,0.197265625,10,7,4,0.5714285714285714,0.15040511873572815,1.96,0.27663453870654425,0.8662226041505985,Reject
512,101,0.197265625,11,9,1,0.1111111111111111,0.13264484669529272,1.96,-0.14887278841166263,0.37109501063388484,Accept
512,101,0.197265625,25,20,4,0.2,0.08898086822271387,1.96,0.025597498283480846,0.3744025017165192,Accept
512,101,0.197265625,12,14,3,0.21428571428571427,0.10635247938320122,1.96,0.005834854694639874,0.42273657387678865,Accept
512,101,0.197265625,13,17,6,0.35294117647058826,0.09651330240327416,1.96,0.1637751037601709,0.5421072491810056,Accept
512,101,0.197265625,14,23,5,0.21739130434782608,0.08297508745907842,1.96,0.05476013292803239,0.38002247576761977,Accept
512,101,0.197265625,15,30,5,0.16666666666666666,0.07265257467182641,1.96,0.024267620309886884,0.30906571302344643,Accept
512,101,0.197265625,16,21,5,0.23809523809523808,0.08683643578957027,1.96,0.06789582394768034,0.4082946522427958,Accept
512,101,0.197265625,23,18,2,0.1111111111111111,0.09379407058769149,1.96,-0.0727252672407642,0.29494748946298643,Accept
512,101,0.197265625,20,28,8,0.2857142857142857,0.07520255936786407,1.96,0.13831726935327213,0.43311130207529924,Accept
