N,F,P,Sample,n,f,p,SE,Z,LB,UB,Accept/Reject
1655,363,0.21933534743202418,3,58,13,0.22413793103448276,0.05433411210199376,2.58,0.08395592181133887,0.36431994025762665,Accept
1655,363,0.21933534743202418,6,67,12,0.1791044776119403,0.05055326034319475,2.58,0.048677065926497814,0.30953188929738273,Accept
1655,363,0.21933534743202418,24,74,25,0.33783783783783783,0.048102839270993625,2.58,0.21373251251867426,0.4619431631570014,Accept
1655,363,0.21933534743202418,7,68,10,0.14705882352941177,0.0501801684519506,2.58,0.01759398892337921,0.27652365813544433,Accept
1655,363,0.21933534743202418,19,54,13,0.24074074074074073,0.056310539898701786,2.58,0.09545954780209012,0.3860219336793913,Accept
1655,363,0.21933534743202418,1,71,22,0.30985915492957744,0.049108582308212675,2.58,0.18315901257438874,0.43655929728476617,Accept
1655,363,0.21933534743202418,8,78,11,0.14102564102564102,0.04685320129703771,2.58,0.02014438167928373,0.2619069003719983,Accept
1655,363,0.21933534743202418,18,63,13,0.20634920634920634,0.052133429667262324,2.58,0.07184495780766953,0.34085345489074315,Accept
1655,363,0.21933534743202418,17,80,11,0.1375,0.04626382939172046,2.58,0.01813932016936122,0.2568606798306388,Accept
1655,363,0.21933534743202418,2,66,14,0.21212121212121213,0.05093479979627214,2.58,0.08070942864683,0.34353299559559425,Accept
1655,363,0.21933534743202418,21,67,15,0.22388059701492538,0.05055326034319475,2.58,0.09345318532948291,0.3543080087003678,Accept
1655,363,0.21933534743202418,22,61,13,0.21311475409836064,0.05298118329736023,2.58,0.07642330119117124,0.34980620700555004,Accept
1655,363,0.21933534743202418,4,52,7,0.1346153846153846,0.057383217996824686,2.58,-0.013433317816423096,0.2826640870471923,Accept
1655,363,0.21933534743202418,5,78,11,0.14102564102564102,0.04685320129703771,2.58,0.02014438167928373,0.2619069003719983,Accept
1655,363,0.21933534743202418,9,65,10,0.15384615384615385,0.05132511048343572,2.58,0.02142736879888968,0.28626493889341803,Accept
1655,363,0.21933534743202418,10,21,9,0.42857142857142855,0.09029774895651697,2.58,0.19560323626361475,0.6615396208792423,Accept
1655,363,0.21933534743202418,11,74,18,0.24324324324324326,0.048102839270993625,2.58,0.1191379179240797,0.36734856856240683,Accept
1655,363,0.21933534743202418,25,65,11,0.16923076923076924,0.05132511048343572,2.58,0.036811984183505064,0.3016495542780334,Accept
1655,363,0.21933534743202418,12,69,20,0.2898550724637681,0.049815216928817845,2.58,0.1613318127874181,0.41837833214011816,Accept
1655,363,0.21933534743202418,13,60,17,0.2833333333333333,0.053420868706105455,2.58,0.14550749207158126,0.4211591745950854,Accept
1655,363,0.21933534743202418,14,80,21,0.2625,0.04626382939172046,2.58,0.1431393201693612,0.3818606798306388,Accept
1655,363,0.21933534743202418,15,78,14,0.1794871794871795,0.04685320129703771,2.58,0.05860592014082219,0.3003684388335368,Accept
1655,363,0.21933534743202418,16,67,16,0.23880597014925373,0.05055326034319475,2.58,0.10837855846381125,0.36923338183469623,Accept
1655,363,0.21933534743202418,23,64,12,0.1875,0.05172453370966985,2.58,0.054050703029051794,0.3209492969709482,Accept
1655,363,0.21933534743202418,20,75,25,0.3333333333333333,0.04778107753757721,2.58,0.2100581532863841,0.4566085133802825,Accept
